,Unnamed: 0,images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating,rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,Unnamed: 27,img_x,density_x,hull_x,density_y,hull_y,img_y,density,hull,img
80,530,images/INVk14.bmp,inverted,,,0.0,46.0,46.0,68.0,,,,,,,7.0,2.451,,,,,,,2016_May_03_1203,60.0146520147,Gestalt_exp1,1,9010,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
81,678,images/INVk14.bmp,inverted,,,0.0,33.0,33.0,68.0,,,,,,,6.0,1.719,,,,,,,2016_Sep_19_1511,59.8884276929,Gestalt_exp1,1,11485,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
82,834,images/INVk14.bmp,inverted,,,0.0,28.0,28.0,68.0,,,,,,,7.0,2.952,,,,,,,2016_Apr_15_1205,59.8039758064,Gestalt_exp1,1,11707,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
83,981,images/INVk14.bmp,inverted,,,0.0,14.0,14.0,68.0,,,,,,,7.0,3.036,,,,,,,2016_Apr_21_1606,59.9297583837,Gestalt_exp1,1,11755,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
84,1139,images/INVk14.bmp,inverted,,,0.0,11.0,11.0,68.0,,,,,,,5.0,3.802,,,,,,,2016_Sep_26_1705,59.9161463311,Gestalt_exp1,1,11758,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
85,1296,images/INVk14.bmp,inverted,,,0.0,7.0,7.0,68.0,,,,,,,8.0,2.285,,,,,,,2016_Oct_03_1406,59.8820149965,Gestalt_exp1,1,12139,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
86,1498,images/INVk14.bmp,inverted,,,0.0,48.0,48.0,68.0,,,,,,,6.0,2.468,,,,,,,2016_Aug_24_1710,59.9186285714,Gestalt_exp1,1,13105,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
87,1629,images/INVk14.bmp,inverted,,,0.0,18.0,18.0,68.0,,,,,,,6.0,1.819,,,,,,,2016_Apr_18_1709,59.9075028923,Gestalt_exp1,1,13201,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
88,1835,images/INVk14.bmp,inverted,,,0.0,63.0,63.0,68.0,,,,,,,9.0,3.385,,,,,,,2016_Oct_17_1105,59.9175158176,Gestalt_exp1,1,13831,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
89,1935,images/INVk14.bmp,inverted,,,0.0,2.0,2.0,68.0,,,,,,,4.0,3.219,,,,,,,2016_Oct_10_1504,59.8748344068,Gestalt_exp1,1,14596,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
