,participant,img,Gestalt-scrambled,Inverted-Gestalt,Inverted-scrambled,gestalt,inverted,scrambled,diffGestalt,diffInv,hullDiff,densDiff
514,17959,5,0.0,1.0,0.0,7.0,5.0,5.0,2.0,0.0,-0.189,0.00229155864197
515,17959,6,1.0,1.0,1.0,4.0,5.0,6.0,-2.0,-1.0,-0.377855555556,0.00889073106128
516,17959,7,0.0,,,5.0,,6.0,-1.0,,0.0646666666667,-0.00307759954249
517,17959,8,0.0,,,6.0,,6.0,0.0,,-0.153788888889,0.0157562191299
518,17959,9,0.0,0.0,1.0,5.0,6.0,5.0,0.0,1.0,-0.0237444444444,0.00886377451772
519,17959,10,1.0,1.0,0.0,4.0,6.0,5.0,-1.0,1.0,0.105588888889,0.00570845207801
520,17959,11,0.0,,,5.0,,3.0,2.0,,0.0168555555556,0.00136234284212
521,17959,12,1.0,0.0,1.0,5.0,5.0,6.0,-1.0,-1.0,0.0186777777778,0.00897918503964
522,17959,13,0.0,,,3.0,,4.0,-1.0,,-0.174311111111,0.00590556020577
523,17959,14,1.0,0.0,0.0,6.0,7.0,5.0,1.0,2.0,-0.130788888889,0.0154222394647
524,17959,15,0.0,1.0,1.0,5.0,6.0,6.0,-1.0,0.0,0.00115555555556,0.00133165305282
525,17959,16,1.0,1.0,0.0,4.0,5.0,3.0,1.0,2.0,-0.0309666666667,0.00365602306784
526,17959,17,0.0,,,3.0,,2.0,1.0,,-0.0370333333333,0.000716594707261
527,17959,18,0.0,1.0,1.0,5.0,4.0,7.0,-2.0,-3.0,-0.125733333333,0.00675204284885
528,17959,19,0.0,0.0,1.0,7.0,5.0,3.0,4.0,2.0,-0.0877555555556,0.00770715905724
529,17959,20,1.0,,,4.0,,3.0,1.0,,0.106566666667,-0.00766691666074
530,17959,21,0.0,1.0,0.0,3.0,7.0,7.0,-4.0,0.0,-0.0711111111111,0.00385365895387
531,17959,22,1.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0350555555556,-0.000264336548255
532,17959,23,1.0,1.0,1.0,5.0,5.0,7.0,-2.0,-2.0,-0.131633333333,0.00444969970055
533,17959,24,0.0,0.0,0.0,3.0,4.0,4.0,-1.0,0.0,0.1048,7.03192645681e-05
534,17959,25,0.0,0.0,0.0,5.0,3.0,4.0,1.0,-1.0,-0.0874555555556,0.000602427939496
535,17959,26,1.0,1.0,1.0,7.0,8.0,7.0,0.0,1.0,-0.0972888888889,0.0107651195987
536,17959,27,1.0,1.0,0.0,7.0,5.0,3.0,4.0,2.0,0.00161111111111,0.00196512124492
537,17959,28,1.0,0.0,0.0,6.0,5.0,7.0,-1.0,-2.0,-0.0456555555556,0.00137553891697
538,17959,29,1.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,-0.173477777778,0.00484626502237
539,17959,30,1.0,0.0,1.0,8.0,5.0,5.0,3.0,0.0,-0.208311111111,0.0145634808792
540,18019,1,1.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,-0.234444444444,0.00460912344787
541,18019,2,0.0,,,5.0,,2.0,3.0,,-0.290244444444,0.0111467933226
542,18019,3,1.0,0.0,0.0,4.0,6.0,3.0,1.0,3.0,-0.270766666667,0.0101584533402
543,18019,4,1.0,0.0,1.0,6.0,4.0,5.0,1.0,-1.0,-0.114577777778,0.00844681479993
544,18019,5,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,-0.189,0.00229155864197
545,18019,6,1.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,-0.377855555556,0.00889073106128
546,18019,7,0.0,,,3.0,,2.0,1.0,,0.0646666666667,-0.00307759954249
547,18019,8,1.0,,,6.0,,3.0,3.0,,-0.153788888889,0.0157562191299
548,18019,9,0.0,1.0,0.0,6.0,5.0,2.0,4.0,3.0,-0.0237444444444,0.00886377451772
549,18019,10,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.105588888889,0.00570845207801
550,18019,11,0.0,,,2.0,,2.0,0.0,,0.0168555555556,0.00136234284212
551,18019,12,1.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0186777777778,0.00897918503964
552,18019,13,0.0,,,6.0,,2.0,4.0,,-0.174311111111,0.00590556020577
553,18019,14,1.0,0.0,0.0,5.0,7.0,5.0,0.0,2.0,-0.130788888889,0.0154222394647
554,18019,15,0.0,1.0,1.0,2.0,2.0,3.0,-1.0,-1.0,0.00115555555556,0.00133165305282
555,18019,16,0.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,-0.0309666666667,0.00365602306784
556,18019,17,0.0,,,5.0,,5.0,0.0,,-0.0370333333333,0.000716594707261
557,18019,18,1.0,0.0,1.0,4.0,5.0,3.0,1.0,2.0,-0.125733333333,0.00675204284885
558,18019,19,1.0,0.0,1.0,4.0,5.0,3.0,1.0,2.0,-0.0877555555556,0.00770715905724
559,18019,20,0.0,,,2.0,,4.0,-2.0,,0.106566666667,-0.00766691666074
560,18019,21,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,-0.0711111111111,0.00385365895387
561,18019,22,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0350555555556,-0.000264336548255
562,18019,23,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,-0.131633333333,0.00444969970055
563,18019,24,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.1048,7.03192645681e-05
564,18019,25,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,-0.0874555555556,0.000602427939496
565,18019,26,0.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,-0.0972888888889,0.0107651195987
566,18019,27,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.00161111111111,0.00196512124492
567,18019,28,0.0,1.0,0.0,3.0,5.0,3.0,0.0,2.0,-0.0456555555556,0.00137553891697
568,18019,29,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,-0.173477777778,0.00484626502237
569,18019,30,1.0,1.0,0.0,5.0,5.0,2.0,3.0,3.0,-0.208311111111,0.0145634808792
570,18445,1,0.0,0.0,0.0,5.0,5.0,4.0,1.0,1.0,-0.234444444444,0.00460912344787
571,18445,2,1.0,,,5.0,,4.0,1.0,,-0.290244444444,0.0111467933226
572,18445,3,1.0,0.0,0.0,5.0,5.0,4.0,1.0,1.0,-0.270766666667,0.0101584533402
573,18445,4,0.0,1.0,1.0,5.0,5.0,5.0,0.0,0.0,-0.114577777778,0.00844681479993
574,18445,5,0.0,1.0,0.0,6.0,5.0,5.0,1.0,0.0,-0.189,0.00229155864197
575,18445,6,1.0,0.0,1.0,6.0,5.0,5.0,1.0,0.0,-0.377855555556,0.00889073106128
576,18445,7,0.0,,,5.0,,5.0,0.0,,0.0646666666667,-0.00307759954249
577,18445,8,0.0,,,6.0,,5.0,1.0,,-0.153788888889,0.0157562191299
578,18445,9,0.0,1.0,1.0,6.0,5.0,5.0,1.0,0.0,-0.0237444444444,0.00886377451772
579,18445,10,0.0,1.0,0.0,4.0,4.0,5.0,-1.0,-1.0,0.105588888889,0.00570845207801
580,18445,11,0.0,,,4.0,,4.0,0.0,,0.0168555555556,0.00136234284212
581,18445,12,1.0,0.0,1.0,5.0,4.0,5.0,0.0,-1.0,0.0186777777778,0.00897918503964
582,18445,13,1.0,,,6.0,,6.0,0.0,,-0.174311111111,0.00590556020577
583,18445,14,1.0,0.0,0.0,4.0,6.0,5.0,-1.0,1.0,-0.130788888889,0.0154222394647
584,18445,15,0.0,1.0,0.0,5.0,6.0,6.0,-1.0,0.0,0.00115555555556,0.00133165305282
585,18445,16,1.0,1.0,0.0,4.0,5.0,5.0,-1.0,0.0,-0.0309666666667,0.00365602306784
586,18445,17,0.0,,,4.0,,4.0,0.0,,-0.0370333333333,0.000716594707261
587,18445,18,0.0,1.0,1.0,6.0,6.0,6.0,0.0,0.0,-0.125733333333,0.00675204284885
588,18445,19,1.0,1.0,0.0,5.0,5.0,6.0,-1.0,-1.0,-0.0877555555556,0.00770715905724
589,18445,20,0.0,,,4.0,,4.0,0.0,,0.106566666667,-0.00766691666074
590,18445,21,0.0,1.0,0.0,4.0,5.0,6.0,-2.0,-1.0,-0.0711111111111,0.00385365895387
591,18445,22,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0350555555556,-0.000264336548255
592,18445,23,1.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,-0.131633333333,0.00444969970055
593,18445,24,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.1048,7.03192645681e-05
594,18445,25,1.0,0.0,1.0,5.0,4.0,5.0,0.0,-1.0,-0.0874555555556,0.000602427939496
595,18445,26,0.0,0.0,1.0,6.0,5.0,6.0,0.0,-1.0,-0.0972888888889,0.0107651195987
596,18445,27,0.0,1.0,1.0,4.0,4.0,6.0,-2.0,-2.0,0.00161111111111,0.00196512124492
597,18445,28,0.0,1.0,0.0,5.0,4.0,6.0,-1.0,-2.0,-0.0456555555556,0.00137553891697
598,18445,29,0.0,1.0,0.0,5.0,4.0,5.0,0.0,-1.0,-0.173477777778,0.00484626502237
599,18445,30,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,-0.208311111111,0.0145634808792
600,18460,1,1.0,0.0,1.0,3.0,4.0,5.0,-2.0,-1.0,-0.234444444444,0.00460912344787
601,18460,2,0.0,,,3.0,,3.0,0.0,,-0.290244444444,0.0111467933226
602,18460,3,0.0,0.0,1.0,4.0,5.0,4.0,0.0,1.0,-0.270766666667,0.0101584533402
603,18460,4,1.0,0.0,0.0,3.0,3.0,4.0,-1.0,-1.0,-0.114577777778,0.00844681479993
